,id_unit,kelurahan,kecamatan,rt,rw,kedalaman_rata_rata,durasi_rendaman,kelas
0,3172020004005000,SUSUKAN,CIRACAS,,005,0.0,0.25,A4
1,3172020004002000,SUSUKAN,CIRACAS,,002,0.0,0.25,A4
2,3172060007001000,BALI MESTER,JATINEGARA,,001,0.0,0.25,A4
3,3172060007003000,BALI MESTER,JATINEGARA,,003,0.0,0.25,A4
4,3172060007005000,BALI MESTER,JATINEGARA,,005,0.0,0.25,A4
5,3172060007006000,BALI MESTER,JATINEGARA,,006,0.0,0.25,A4
6,3172060008008000,KAMPUNG MELAYU,JATINEGARA,,008,0.0,0.25,A4
7,3172060008005000,KAMPUNG MELAYU,JATINEGARA,,005,100.0,0.25,A2
8,3172060001005000,BIDARA CINA,JATINEGARA,,005,0.0,0.25,A4
9,3172060008003000,KAMPUNG MELAYU,JATINEGARA,,003,150.0,0.25,A2
10,3172060008004000,KAMPUNG MELAYU,JATINEGARA,,004,100.0,0.25,A2
11,3172060008006000,KAMPUNG MELAYU,JATINEGARA,,006,0.0,0.25,A4
12,3172060008007000,KAMPUNG MELAYU,JATINEGARA,,007,100.0,0.25,A2
13,3172060008001000,KAMPUNG MELAYU,JATINEGARA,,001,100.0,0.25,A2
14,3172060008002000,KAMPUNG MELAYU,JATINEGARA,,002,100.0,0.25,A2
15,3172060001008000,BIDARA CINA,JATINEGARA,,008,0.0,0.25,A4
16,3172060001006000,BIDARA CINA,JATINEGARA,,006,50.0,0.25,A1
17,3172060001007000,BIDARA CINA,JATINEGARA,,007,80.0,0.25,A2
18,3172060001011000,BIDARA CINA,JATINEGARA,,011,60.0,0.25,A1
19,3172060001001000,BIDARA CINA,JATINEGARA,,001,0.0,0.25,A4
20,3172060001012000,BIDARA CINA,JATINEGARA,,012,0.0,0.25,A4
21,3172060001016000,BIDARA CINA,JATINEGARA,,016,0.0,0.25,A4
22,3171010006005000,TANJUNG BARAT,JAGAKARSA,,005,0.0,0.25,A4
23,3171010006003000,TANJUNG BARAT,JAGAKARSA,,003,0.0,0.25,A4
24,3171010006004000,TANJUNG BARAT,JAGAKARSA,,004,0.0,0.25,A4
25,3171080006001000,CIKOKO,PANCORAN,,001,0.0,0.25,A4
26,3171080003004000,DUREN TIGA,PANCORAN,,004,0.0,0.25,A4
27,3171080001010000,KALIBATA,PANCORAN,,010,0.0,0.25,A4
28,3171020004001000,PASAR MINGGU,PASAR MINGGU,,001,0.0,0.25,A4
29,3171020004005000,PASAR MINGGU,PASAR MINGGU,,005,0.0,0.25,A4
30,3171020004006000,PASAR MINGGU,PASAR MINGGU,,006,0.0,0.25,A4
31,3171020006003000,PEJATEN BARAT,PASAR MINGGU,,003,0.0,0.25,A4
32,3171020006005000,PEJATEN BARAT,PASAR MINGGU,,005,0.0,0.25,A4
33,3171020004007000,PASAR MINGGU,PASAR MINGGU,,007,0.0,0.25,A4
34,3171080002004000,RAWAJATI,PANCORAN,,004,0.0,0.25,A4
35,3171090007010000,MANGGARAI,TEBET,,010,0.0,0.25,A4
36,3171090004011000,KEBON BARU,TEBET,,011,0.0,0.25,A4
37,3171080002005000,RAWAJATI,PANCORAN,,005,0.0,0.25,A4
38,3171080002006000,RAWAJATI,PANCORAN,,006,100.0,0.25,A2
39,3171080002007000,RAWAJATI,PANCORAN,,007,100.0,0.25,A2
40,3171080002008000,RAWAJATI,PANCORAN,,008,0.0,0.25,A4
41,3171080002001000,RAWAJATI,PANCORAN,,001,100.0,0.25,A2
42,3171080002002000,RAWAJATI,PANCORAN,,002,0.0,0.25,A4
43,3171080002003000,RAWAJATI,PANCORAN,,003,100.0,0.25,A2
44,3171080005001000,PENGADEGAN,PANCORAN,,001,0.0,0.25,A4
45,3171020007004000,PEJATEN TIMUR,PASAR MINGGU,,004,0.0,0.25,A4
46,3171080005002000,PENGADEGAN,PANCORAN,,002,0.0,0.25,A4
47,3171020007002000,PEJATEN TIMUR,PASAR MINGGU,,002,0.0,0.25,A4
